name,operator,operator:wikidata,Street Address,addr:housenumber,addr:street,addr:unit,description,addr:city,addr:state,addr:postcode,Phone Number,phone,Access Days Time,opening_hours,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,network,network:wikidata,network:website,Latitude,Longitude,EV Connector Types,,,socket:type1,socket:type1_combo,socket:chademo,socket:nacs
THE WORKS MF WORKS 4,,,1301 Chattahoochee Avenue Northwest,1301,Chattahoochee Avenue Northwest,,Level 4,Atlanta,GA,30318,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.80278,-84.4299,J1772,,,yes,,,
THE WORKS MF WORKS 5,,,1301 Chattahoochee Avenue Northwest,1301,Chattahoochee Avenue Northwest,,Level 5,Atlanta,GA,30318,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.80279,-84.42987,J1772,,,yes,,,
Mira Midtown,,,1301 Spring Street Northwest,1301,Spring Street Northwest,,,Atlanta,GA,30309,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,4,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,33.79121,-84.38915,J1772,,,yes,,,
Springhill Suites Conyers - Tesla Destination,Springhill Suites,Q7580351,1302  Green St SE,1302, Green Street Southeast,,,Conyers,GA,30012,877-798-3752,+1-877-798-3752,,,,8,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,33.65594,-84.01026,J1772,TESLA,,yes,,,yes
DOUGLAS SQR CTR STATION 1,,,1307 Peterson Ave S,1307,Peterson Avenue South,,,Douglas,GA,31535,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,31.49049,-82.85273,CHADEMO,J1772COMBO,,,yes,yes,
KOHL'S - CHPT 1264 MILTON 1,Kohl’s,Q967265,13097 Hwy 9 N,13097,Highway 9 N,,Kohl's EV Charging: $1.25 hourly usage fee,Milton,GA,30004,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.10469,-84.26827,J1772,,,yes,,,
SANDERSVILLE DOWNTOWN 1,,,131 S Harris St,131,South Harris Street,,Public Station from the City of Sandersville,Sandersville,GA,31082,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.98202,-82.81084,J1772,,,yes,,,
SANDERSVILLE DOWNTOWN 2,,,131 S Harris St,131,South Harris Street,,City of Sandersville,Sandersville,GA,31082,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.98202,-82.81078,J1772,,,yes,,,
Nalley Nissan - Cumming,Nissan Motor Corporation,Q20165,1310 Buford Hd,1310,Buford Hd,,,Cumming,GA,30041,678-648-7290,+1-678-648-7290,Dealership business hours,,,1,1,,Non-Networked,,,,34.16961,-84.12513,CHADEMO,J1772,J1772COMBO,yes,yes,yes,
KOHL'S - CHPT 0444 MARIETTA 2,Kohl’s,Q967265,1317 Johnson Ferry Rd,1317,Johnson Ferry Road,,Kohl's EV Charging: $1.25 hourly usage fee,Marietta,GA,30068,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.98088,-84.4272,J1772,,,yes,,,
KOHL'S - CHPT 0444 MARIETTA 1,Kohl’s,Q967265,1317 Johnson Ferry Rd,1317,Johnson Ferry Road,,Kohl's EV Charging: $1.25 hourly usage fee,Marietta,GA,30068,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.98108,-84.42727,J1772,,,yes,,,
CITY OF GRIFFIN COG STATION 1,,,132 E Broad St,132,East Broad Street,,,Griffin,GA,30223,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.25001,-84.26338,J1772,,,yes,,,
Robinson Parking Garage,,,132 Montgomery St,132,Montgomery Street,,,Savannah,GA,31401,800-636-0986,+1-800-636-0986,24 hours daily,24/7,,4,,,Non-Networked,,,,32.07879,-81.09642,J1772,,,yes,,,
Robinson Parking Garage - Tesla Destination,,,132 Montgomery St,132,Montgomery Street,,,Savannah,GA,31401,877-798-3752,+1-877-798-3752,,,,4,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,32.07888,-81.0963,J1772,TESLA,,yes,,,yes
Home 2 Suites,Home2 Suites by Hilton,Q5887912,1320 East Main Street,1320,East Main Street,,,Cartersville,GA,30121,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,2,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,34.17512,-84.76562,J1772,,,yes,,,
HAMPTONACWORTH HAMPTONACWORTH,Hampton by Hilton,Q5646230,1320 Highway 92,1320,Highway 92,,,Acworth,GA,30102,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.08451,-84.65384,J1772,,,yes,,,
"CircleK - Kingsland, GA",Circle K,Q3268010,1321 Hwy 40 E,1321,Highway 40 East,,,Kingsland,GA,31548,833-505-2291,+1-833-505-2291,24 hours daily,24/7,,,4,,CIRCLE_K,Circle K,Q3268010,https://www.circlek.com/charge,30.78972,-81.65409,J1772COMBO,,,,yes,,
Hawthorn Suites by Wyndham Kingsland - Tesla Destination,Hawthorne Suites by Wyndham,,1323 E King Ave,1323,East King Avenue,,,Kingsland,GA,31548,877-798-3752,+1-877-798-3752,,,,2,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,30.7916,-81.6544,TESLA,,,,,,yes
THE CURRENTS STATION 1,,,1325 Broadway,1325,Broadway,,,Columbus,GA,31901,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.47154,-84.99366,J1772,,,yes,,,
THE CURRENTS STATION 2,,,1325 Broadway,1325,Broadway,,,Columbus,GA,31901,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.47157,-84.99374,J1772,,,yes,,,
Crowne Plaza Atlanta Airport - Tesla Destination,Crowne Plaza,Q2746220,1325 Virginia Ave,1325,Virginia Avenue,,,Atlanta,GA,30334,877-798-3752,+1-877-798-3752,,,,2,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,33.66013,-84.43152,J1772,TESLA,,yes,,,yes
Holiday Inn Express Hotel & Suites Valdosta West - Tesla Destination,Holiday Inn Express,Q5880423,1330 St Augustine Rd,1330,St Augustine Road,,,Valdosta,GA,31601,877-798-3752,+1-877-798-3752,,,,6,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,30.8423,-83.3288,J1772,TESLA,,yes,,,yes
Comfort Suites Valdosta - Tesla Destination,Comfort Inn & Suites,Q113152349,1332 St. Augustine Rd,1332,St. Augustine Road,,,Valdosta,GA,31601,877-798-3752,+1-877-798-3752,,,,8,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,30.84176,-83.32884,J1772,TESLA,,yes,,,yes
134 Bridge Street - Tesla Destination,,,134 Bridge St,134,Bridge Street,,,McCaysville,GA,30555,877-798-3752,+1-877-798-3752,,,,4,,,Non-Networked,,,,34.98708,-84.37226,J1772,,,yes,,,
MIDTOWN PLAZA MIDTOWN117-118,,,1349 W Peachtree St NE,1349,West Peachtree Street Northeast,,Level P1-spaces 117-118,Atlanta,GA,30309,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.79137,-84.38687,J1772,,,yes,,,
HOLIDAYINNCALHO HOLIDAYINNCALHO,Holiday Inn,Q2717882,135 Hampton Drive Southeast,135,Hampton Drive Southeast,,Right side front the building; floor H,Calhoun,GA,30701,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.47061,-84.92058,J1772,,,yes,,,
The Dahlonega Square Hotel & Villas - Tesla Destination,The Dahlonega Square Hotel & Villas,,135 N Chestatee St,135,North Chestatee Street,,,Dahlonega,GA,30533,877-798-3752,+1-877-798-3752,,,,3,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,34.53318,-83.98642,J1772,TESLA,,yes,,,yes
GEORGIA POWER EPICENTER DC1,,,135 riverside parkway SW,135,Riverside Parkway Southwest,,,Austell,GA,30168,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.77129,-84.5584,CHADEMO,J1772COMBO,,,yes,yes,
Riverside Epicenter - Tesla Supercharger,Riverside Epicenter,,135 Riverside Pkwy,135,Riverside Parkway,,,Austell,GA,30168,877-798-3752,+1-877-798-3752,24 hours daily,24/7,,,24,,Tesla,Tesla,Q17089620,https://www.tesla.com/supercharger,33.77061,-84.55769,TESLA,,,,,,yes
GEORGIA POWER EPICENTER L2,,,135 Riverside Pkwy,135,Riverside Parkway,,Epicenter parking lot along side main road,Austell,GA,30168,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.77132,-84.55844,J1772,,,yes,,,
MIDTOWN PLAZA MIDTOWN 163-164,,,1360 W Peachtree St NE,1360,West Peachtree Street Northeast,,Parking Deck Level P1-Sp. 163 & 164,Atlanta,GA,30309,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.79175,-84.38634,J1772,,,yes,,,
AMICALOLA FALLS VISITOR CENTER,,,1362 Top of the Falls Rd,1362,Top Of The Falls Road,,,Dawsonville,GA,30534,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.55773,-84.24965,J1772,,,yes,,,
COASTALELECTRIC SMOKING PIG,Smoking Pig,,13711 E Oglethorpe Hwy,13711,East OglethorpEast Highway,,NEAR MAIN HWY ALONG WOODEN FENCE,Midway,GA,31320,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,31.77987,-81.38265,J1772,,,yes,,,
GEORGIA POWER KINGSLAND DC1,,,1375 Hospitality Ave,1375,Hospitality Avenue,,,Kingsland,GA,31548,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,30.79048,-81.65217,CHADEMO,J1772COMBO,,,yes,yes,
GEORGIA POWER KINGSLAND DC2,,,1375 Hospitality Ave,1375,Hospitality Avenue,,,Kingsland,GA,31548,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,30.79045,-81.65213,CHADEMO,J1772COMBO,,,yes,yes,
1377 Dresden,,,1377 Dresden Drive Northeast,1377,Dresden Drive Northeast,,,Brookhaven,GA,30319,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,7,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,33.86031,-84.33356,J1772,,,yes,,,
Atlantic Station - Tesla Supercharger,Atlantic Station,,1380 Atlantic Drive NW,1380,Atlantic Drive Northwest,,,Atlanta,GA,30363,877-798-3752,+1-877-798-3752,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,24/7,,,30,,Tesla,Tesla,Q17089620,https://www.tesla.com/supercharger,33.79382,-84.39713,TESLA,,,,,,yes
South Point Shopping Center - Tesla Supercharger,South Point Shopping Center,,1380 GA-20 West,1380,GA-20 West,,,McDonough,GA,30253,877-798-3752,+1-877-798-3752,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,24/7,,,12,,Tesla,Tesla,Q17089620,https://www.tesla.com/supercharger,33.4259,-84.18742,TESLA,,,,,,yes
South Point Shopping Center,,,1380 Highway 20 W,1380,Highway 20 West,,,McDonough,GA,30253,877-455-3833,+1-877-455-3833,24 hours daily,24/7,,,4,,eVgo Network,eVgo,Q61803820,https://www.evgo.com,33.42589,-84.18787,CHADEMO,J1772COMBO,,,yes,yes,
Asiano Restaurant,,,1382 US-76,1382,US-76,,,Hiawassee,GA,30546,706-896-0508,+1-706-896-0508,24 hours daily,24/7,,1,,,Non-Networked,,,,34.96338,-83.78223,TESLA,,,,,,yes
THUNDER TOWER 1 DCFAST HOG,,,1384 Southlake Pkwy,1384,Southlake Parkway,,Outside - Customer facing,Morrow,GA,30260,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.57591,-84.34529,J1772COMBO,,,,yes,,
BOUNDARY STATION 1,,,1389 W Peachtree St NW,1389,West Peachtree Street Northwest,,1st,Atlanta,GA,30309,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.79294,-84.38586,J1772,,,yes,,,
Ann Street Parking Garage - Tesla Destination,,,140 Ann St,140,Ann Street,,,Savannah,GA,31401,877-798-3752,+1-877-798-3752,,,,3,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,32.07933,-81.09827,J1772,TESLA,,yes,,,yes
GEORGIA POWER MONTEZUMA DC 1,,,140 Spaulding Rd,140,Spaulding Road,,,Montezuma,GA,31063,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.29969,-84.02826,J1772COMBO,TESLA,,,yes,,yes
GEORGIA POWER MONTEZUMA DC 2,,,140 Spaulding Rd,140,Spaulding Road,,,Montezuma,GA,31063,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.29969,-84.02826,CHADEMO,J1772COMBO,,,yes,yes,
FAYETTE COUNTY STATION 1,,,140 Stonewall Ave W,140,Stonewall Avenue West,,In the Parking Lot off of Stonewall.,Fayetteville,GA,30214,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.44762,-84.45577,J1772,,,yes,,,
AVALON CHARGE AVALON STATION4,,,1400 Alpha Ct,1400,Alpha Court,,"North Parking Deck, Lower Level - station located on lower level (ground floor). After entering garage, station to your left",Alpharetta,GA,30009,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.07125,-84.27753,J1772,,,yes,,,
AVALON CHARGE AVALON STATION3,,,1400 Alpha Ct,1400,Alpha Court,,"North Parking Deck, Upper Level - station located on upper level near stairs",Alpharetta,GA,30009,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.07124,-84.2774,J1772,,,yes,,,
"Walmart 3402 (Stockbridge, GA)",Walmart,Q483551,1400 Hudson Bridge Rd,1400,Hudson Bridge Road,,,Stockbridge,GA,30281,833-632-2778,+1-833-632-2778,24 hours daily,24/7,,,4,,Electrify America,Electrify America,Q59773555,https://www.electrifyamerica.com,33.5059,-84.23486,CHADEMO,J1772COMBO,,,yes,yes,
Halcyon Parking Deck,,,1400 McFarland Parkway,1400,Mcfarland Parkway,,,Alpharetta,GA,30005,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,6,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,34.11062,-84.22546,J1772,,,yes,,,
SEE ROCK CITY SEE ROCK 1,,,1400 Patten Rd,1400,Patten Road,,,Lookout Mountain,GA,30750,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.97389,-85.35054,J1772,,,yes,,,
EV STATION LOT SP NG BRASELTON,,,1400 River Pl,1400,River Place,,Main Entrance,Braselton,GA,30517,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.12055,-83.83782,J1772,,,yes,,,
EV STATION LOT LL- BRASELTON,,,1400 River Pl,1400,River Place,,Lovelight Side,Braselton,GA,30517,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.11999,-83.83886,J1772,,,yes,,,
Diverse Power,,,1400 S Davis Rd,1400,South Davis Road,,,Lagrange,GA,30241,1-800-636-0986,+1-800-636-0986,,,,,2,,CHARGELAB,ChargeLab,Q128770776,https://chargelab.co,33.02057,-84.99561,CHADEMO,J1772COMBO,,,yes,yes,
DIV2,,,1400 S Davis Rd,1400,South DaviSouth Road,,,Lagrange,GA,30241,NA,,24 hours daily,24/7,,2,,,Non-Networked,,,,33.01583,-85.00328,J1772,,,yes,,,
Target Marietta #T2121,Target,Q1046951,1401 Johnson Ferry Rd,1401,Johnson Ferry Road,,,Marietta,GA,30062,877-455-3833,+1-877-455-3833,24 hours daily,24/7,,,4,,eVgo Network,eVgo,Q61803820,https://www.evgo.com,33.9843,-84.42888,CHADEMO,J1772COMBO,,,yes,yes,
BOUNDARY STATION 2,,,1401 W Peachtree St NE,1401,West Peachtree Street Northeast,,b1,Atlanta,GA,30309,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.79319,-84.38612,J1772,,,yes,,,
Ford Charge - Mike Patton Ford,Ford Motor Company,Q44294,1402 Lafayette Pkwy,1402,Lafayette Parkway,,,LaGrange,GA,30241,888-357-1009,+1-888-357-1009,24 hours daily,24/7,,10,4,,FORD_CHARGE,BlueOval,Q44294,https://www.ford.com/support/category/electric-vehicle/charging/public-charging/,33.04098,-84.98757,J1772,J1772COMBO,,yes,yes,,
Emmi Midtown MQs,,,1405 Spring Street Northwest,1405,Spring Street Northwest,,,Atlanta,GA,30309,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,8,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,33.79325,-84.38878,J1772,,,yes,,,
BOUNDARY STATION 3,,,1409 Peachtree Rd NW,1409,Peachtree Road Northwest,,,Atlanta,GA,30309,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.79335,-84.38647,J1772,,,yes,,,
GSU HOUSING EVS UNIV COMMONS 2,Georgia State University,Q1509333,141 Piedmont Ave NE,141,Piedmont Avenue Northeast,,Located in parking deck P2,Atlanta,GA,30303,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.75755,-84.38122,J1772,,,yes,,,
MARTA EDGEWOOD L2 1,,,1414 DeKalb Ave NE,1414,Dekalb Avenue Northeast,,Parking Lot,Atlanta,GA,30307,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.76215,-84.34133,J1772,,,yes,,,
MARTA EDGEWOOD L2 2,,,1414 DeKalb Ave NE,1414,Dekalb Avenue Northeast,,Parking Lot,Atlanta,GA,30307,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.76215,-84.34141,J1772,,,yes,,,
MARTA EDGEWOOD L2 3,,,1414 DeKalb Ave NE,1414,Dekalb Avenue Northeast,,,Atlanta,GA,30307,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.76215,-84.34145,J1772,,,yes,,,
GEORGIA POWER LAVONIA DC2,,,14177 Jones St,14177,Jones Street,,Parking Lot,Lavonia,GA,30553,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.44784,-83.126,CHADEMO,J1772COMBO,,,yes,yes,
GEORGIA POWER LAVONIA DC1,,,14177 Jones St,14177,Jones Street,,Parking Lot,Lavonia,GA,30553,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.44788,-83.12599,CHADEMO,J1772COMBO,,,yes,yes,
ELAN SWEETWATER ESC (4),,,1435 Trae Ln,1435,Trae Lane,,Building 2000,Lithia Springs,GA,30122,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.76737,-84.60714,J1772,,,yes,,,
ELAN SWEETWATER ESC 5,,,1435 Trae Ln,1435,Trae Lane,,Building 2000 handicap,Lithia Springs,GA,30122,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.7673,-84.60754,J1772,,,yes,,,
ELAN SWEETWATER ESC 6,,,1435 Trae Ln,1435,Trae Lane,,Building 6,Lithia Springs,GA,30122,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.76703,-84.60769,J1772,,,yes,,,
ELAN SWEETWATER ESC 8,,,1437 Trae Ln,1437,Trae Lane,,Building 14,Lithia Springs,GA,30122,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.7677,-84.60818,J1772,,,yes,,,
ELAN SWEETWATER ESC 7,,,1437 Trae Ln,1437,Trae Lane,,Building 7,Lithia Springs,GA,30122,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.76759,-84.60852,J1772,,,yes,,,
Cushman & Wakefield - Station R Apartments,Station R Apartments,,144 Moreland Avenue Northeast,144,Moreland Avenue Northeast,,,Atlanta,GA,30307,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,2,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,33.75731,-84.34969,J1772,,,yes,,,
Fat Man's Cafe & Catering - Tesla Destination,Fat Man's Cafe & Catering,,1450 Greene St #600,1450,Greene Street #600,,,Augusta,GA,30901,877-798-3752,+1-877-798-3752,,,,4,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,33.47753,-81.98202,J1772,TESLA,,yes,,,yes
The Refinery at Sugar Hill,,,1450 Peachtree Industrial Boulevard,1450,Peachtree Industrial Boulevard,,,Sugar Hill,GA,30518,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,2,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,34.11233,-84.02883,J1772,,,yes,,,
GEORGIA POWER L'VILLE L2,,,1453 HIGHWAY 120,1453,Highway 120,,,Lawrenceville,GA,30043,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.97282,-84.05222,J1772,,,yes,,,
GEORGIA POWER LVILLE DC,,,1453 HIGHWAY 120,1453,Highway 120,,,Lawrenceville,GA,30043,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.97289,-84.05219,CHADEMO,J1772COMBO,,,yes,yes,
ALTA AT JONQUIL STATION 1,,,1455 Spring Rd SE,1455,Spring Road Southeast,,,Smyrna,GA,30080,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.88079,-84.51083,J1772,,,yes,,,
Sleep Inn & MainStay Suites Cartersville - Emerson Lake Point,Sleep Inn,,146 Old Allatoona Road Southeast,146,Old Allatoona Road Southeast,,,Cartersville,GA,30121,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,2,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,34.11349,-84.73018,J1772,,,yes,,,
GRAYSONRIDGE EV1,,,1466 Grayson Hwy,1466,Grayson Highway,,street on property facing Grayson highway,Lawrenceville,GA,30045,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.91036,-83.96805,J1772,,,yes,,,
Molly's Food & Fuel #1,Molly’s Food & Fuel,,1466 Sparta Rd SE,1466,Sparta Road Southeast,,,Crawfordville,GA,30631,844-765-0150,+1-844-765-0150,24 hours daily,24/7,,,2,,AUTEL,Autel,Q132727444,https://autelenergy.us,33.52767,-82.9096,J1772COMBO,,,,yes,,
Innovation Center,,,147 Technology Pkwy,147,Technology Parkway,,,Peachtree Corners,GA,30092,1-888-222-6618,+1-888-222-6618,,,,4,,,NOODOE,Noodoe,,https://www.noodoe.com,33.96308,-84.22072,J1772,,,yes,,,
OUTLOOK GWINNET STATION3,,,1470 Laurel Crossing Pkwy NE,1470,Laurel Crossing Parkway Northeast,,Parking Lot,Buford,GA,30519,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.05366,-83.98776,J1772,,,yes,,,
OUTLOOK GWINNET STATION1,,,1470 Laurel Crossing Pkwy NE,1470,Laurel Crossing Parkway Northeast,,Parking Lot,Buford,GA,30519,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.0533,-83.98793,J1772,,,yes,,,
Atl-Forty Five Parking Deck,,,1470 Spring Street NW,1470,Spring Street Northwest,,,Atlanta,GA,30309,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,4,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,33.7948,-84.38989,J1772,,,yes,,,
"Stay-N-Charge EV Charging Station - Holiday Inn Express & Suites, Atlanta N - Woodstock",Holiday Inn Express,Q5880423,1470 Woodstock Pkwy,1470,Woodstock Parkway,,,Woodstock,GA,30188,855-387-5847,+1-855-387-5847,24 hours daily,24/7,,2,,,STAY_N_CHARGE,Stay-N-Charge,,https://www.stayncharge.com,34.11765,-84.53023,J1772,,,yes,,,
SSEMC FRONT ENTRANCE,,,14750 Brown Bridge Rd,14750,Brown Bridge Road,,Near front entrance,Covington,GA,30016,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.55272,-84.01023,J1772,,,yes,,,
John Thornton Cadillac,General Motors,Q81965,1492 N HWY 27,1492,North Highway 27,,,Carrollton,GA,30117,866-816-7584,+1-866-816-7584,24 hours daily,24/7,,,1,,EV Connect,EV Connect,Q126652985,https://www.evconnect.com,33.60841,-85.0856,J1772COMBO,,,,yes,,
Fairfield Inn & Suites,Fairfield by Marriott,Q5430314,1494 E Oglethorpe Hwy,1494,East Oglethorpe Boulevard,,,Hinesville,GA,31313,912-876-2003,+1-912-876-2003,24 hours daily,24/7,,2,,,Non-Networked,,,,31.85706,-81.57025,J1772,,,yes,,,
